2026-08-09 00:19:26,258 | INFO | __main__ | JLA started
2026-08-09 00:19:51,328 | INFO | __main__ | Force exit requested
2026-08-09 00:20:48,412 | INFO | __main__ | JLA started
2026-08-09 00:20:55,313 | INFO | __main__ | JLA shutting down normally
2026-08-09 00:26:29,359 | INFO | __main__ | ...
JLA started
2026-08-09 00:26:33,788 | INFO | __main__ | Force exit requested
...
2026-08-09 00:29:28,157 | INFO | __main__ | JLA started
2026-08-09 00:29:31,386 | INFO | __main__ | Force exit requested...
2026-08-09 00:35:08,307 | INFO | __main__ | JLA started
2026-08-09 00:35:12,423 | DEBUG | JLA.database.connection | Opening database connection to /home/daniel/Documents/Projects/JLA/src/server/data/jla.db
2026-08-09 00:35:12,424 | DEBUG | JLA.database.connection | Database connection opened
2026-08-09 00:35:12,426 | DEBUG | JLA.database.connection | Opening database connection to /home/daniel/Documents/Projects/JLA/src/server/data/jla.db
2026-08-09 00:35:12,426 | DEBUG | JLA.database.connection | Database connection opened
2026-08-09 00:35:12,426 | INFO | JLA.database.schema | Ensured conversations table exists
2026-08-09 00:35:12,427 | INFO | JLA.database.schema | Ensured messages table exists
2026-08-09 00:35:12,427 | INFO | JLA.database.schema | Ensured tool_calls table exists
2026-08-09 00:35:12,427 | INFO | JLA.database.connection | Database initialized successfully
2026-08-09 00:35:28,008 | DEBUG | __main__ | Unknown CLI command received: ['close']
2026-08-09 00:35:31,712 | INFO | __main__ | JLA shutting down normally
